tripduration,starttime,stoptime,start station id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude,bikeid,usertype,birth year,gender
801,2/1/15 0:00,2/1/15 0:14,521,8 Ave & W 31 St,40.75044999,-73.99481051,423,W 54 St & 9 Ave,40.76584941,-73.98690506,17131,Subscriber,1978,2
379,2/1/15 0:00,2/1/15 0:07,497,E 17 St & Broadway,40.73704984,-73.99009296,504,1 Ave & E 15 St,40.73221853,-73.98165557,21289,Subscriber,1993,1
2474,2/1/15 0:01,2/1/15 0:42,281,Grand Army Plaza & Central Park S,40.7643971,-73.97371465,127,Barrow St & Hudson St,40.73172428,-74.00674436,18903,Subscriber,1969,2
818,2/1/15 0:01,2/1/15 0:15,2004,6 Ave & Broome St,40.724399,-74.004704,505,6 Ave & W 33 St,40.74901271,-73.98848395,21044,Subscriber,1985,2
544,2/1/15 0:01,2/1/15 0:10,323,Lawrence St & Willoughby St,40.69236178,-73.98631746,83,Atlantic Ave & Fort Greene Pl,40.68382604,-73.97632328,19868,Subscriber,1957,1
717,2/1/15 0:02,2/1/15 0:14,373,Willoughby Ave & Walworth St,40.69331716,-73.95381995,2002,Wythe Ave & Metropolitan Ave,40.716887,-73.963198,15854,Subscriber,1979,1
1306,2/1/15 0:04,2/1/15 0:26,352,W 56 St & 6 Ave,40.76340613,-73.97722479,504,1 Ave & E 15 St,40.73221853,-73.98165557,15173,Subscriber,1983,1
913,2/1/15 0:04,2/1/15 0:19,439,E 4 St & 2 Ave,40.7262807,-73.98978041,116,W 17 St & 8 Ave,40.74177603,-74.00149746,17862,Subscriber,1955,1
759,2/1/15 0:04,2/1/15 0:17,335,Washington Pl & Broadway,40.72903917,-73.99404649,2012,E 27 St & 1 Ave,40.739445,-73.976806,21183,Subscriber,1985,2
585,2/1/15 0:05,2/1/15 0:15,284,Greenwich Ave & 8 Ave,40.73901691,-74.00263761,444,Broadway & W 24 St,40.7423543,-73.98915076,14843,Subscriber,1982,1
581,2/1/15 0:05,2/1/15 0:15,284,Greenwich Ave & 8 Ave,40.73901691,-74.00263761,444,Broadway & W 24 St,40.7423543,-73.98915076,16936,Subscriber,1988,2
204,2/1/15 0:05,2/1/15 0:08,498,Broadway & W 32 St,40.74854862,-73.98808416,472,E 32 St & Park Ave,40.7457121,-73.98194829,21507,Subscriber,1991,2
1169,2/1/15 0:07,2/1/15 0:27,368,Carmine St & 6 Ave,40.73038599,-74.00214988,307,Canal St & Rutgers St,40.71427487,-73.98990025,17456,Subscriber,1982,2
419,2/1/15 0:07,2/1/15 0:14,326,E 11 St & 1 Ave,40.72953837,-73.98426726,2012,E 27 St & 1 Ave,40.739445,-73.976806,14679,Subscriber,1990,2
527,2/1/15 0:09,2/1/15 0:17,285,Broadway & E 14 St,40.73454567,-73.99074142,212,W 16 St & The High Line,40.74334935,-74.00681753,18978,Subscriber,1977,1
1013,2/1/15 0:10,2/1/15 0:27,368,Carmine St & 6 Ave,40.73038599,-74.00214988,488,W 39 St & 9 Ave,40.75645824,-73.99372222,16496,Subscriber,1968,1
587,2/1/15 0:13,2/1/15 0:23,394,E 9 St & Avenue C,40.72521311,-73.97768752,331,Pike St & Monroe St,40.71173107,-73.99193043,17107,Subscriber,1990,1
525,2/1/15 0:13,2/1/15 0:22,326,E 11 St & 1 Ave,40.72953837,-73.98426726,507,E 25 St & 2 Ave,40.73912601,-73.97973776,16984,Subscriber,1987,1
670,2/1/15 0:14,2/1/15 0:26,493,W 45 St & 6 Ave,40.7568001,-73.98291153,305,E 58 St & 3 Ave,40.76095756,-73.96724467,15997,Subscriber,1980,1
711,2/1/15 0:15,2/1/15 0:27,445,E 10 St & Avenue A,40.72740794,-73.98142006,223,W 13 St & 7 Ave,40.73781509,-73.99994661,21516,Subscriber,1960,1
1559,2/1/15 0:16,2/1/15 0:42,428,E 3 St & 1 Ave,40.72467721,-73.98783413,457,Broadway & W 58 St,40.76695317,-73.98169333,15815,Subscriber,1986,1
683,2/1/15 0:16,2/1/15 0:27,228,E 48 St & 3 Ave,40.7546011,-73.97187886,477,W 41 St & 8 Ave,40.75640548,-73.9900262,18727,Subscriber,1987,1
522,2/1/15 0:16,2/1/15 0:24,513,W 56 St & 10 Ave,40.768254,-73.988639,488,W 39 St & 9 Ave,40.75645824,-73.99372222,14982,Subscriber,1969,1
389,2/1/15 0:16,2/1/15 0:23,507,E 25 St & 2 Ave,40.73912601,-73.97973776,518,E 39 St & 2 Ave,40.74780373,-73.9734419,16391,Subscriber,1957,1
276,2/1/15 0:16,2/1/15 0:21,439,E 4 St & 2 Ave,40.7262807,-73.98978041,473,Rivington St & Chrystie St,40.72110063,-73.9919254,15947,Subscriber,1981,1
907,2/1/15 0:17,2/1/15 0:32,128,MacDougal St & Prince St,40.72710258,-74.00297088,531,Forsyth St & Broome St,40.71893904,-73.99266288,16917,Subscriber,1993,1
946,2/1/15 0:18,2/1/15 0:33,490,8 Ave & W 33 St,40.751551,-73.993934,528,2 Ave & E 31 St,40.74290902,-73.97706058,15924,Subscriber,1975,1
144,2/1/15 0:18,2/1/15 0:21,350,Clinton St & Grand St,40.71559509,-73.9870295,502,Henry St & Grand St,40.714215,-73.981346,21321,Subscriber,1973,1
257,2/1/15 0:19,2/1/15 0:23,250,Lafayette St & Jersey St,40.72456089,-73.99565293,401,Allen St & Rivington St,40.72019576,-73.98997825,16861,Subscriber,1973,2
602,2/1/15 0:20,2/1/15 0:30,504,1 Ave & E 15 St,40.73221853,-73.98165557,411,E 6 St & Avenue D,40.72228087,-73.97668709,21289,Subscriber,1977,1
906,2/3/15 17:54,2/3/15 18:09,520,W 52 St & 5 Ave,40.75992262,-73.97648516,530,11 Ave & W 59 St,40.771522,-73.990541,20227,Subscriber,1982,1
398,2/3/15 17:54,2/3/15 18:01,311,Norfolk St & Broome St,40.7172274,-73.98802084,332,Cherry St,40.71219906,-73.97948148,18125,Subscriber,1976,1
382,2/3/15 17:54,2/3/15 18:00,262,Washington Park,40.69178232,-73.97372989,353,S Portland Ave & Hanson Pl,40.68539567,-73.97431458,19871,Subscriber,1981,1
305,2/3/15 17:54,2/3/15 17:59,404,9 Ave & W 14 St,40.7405826,-74.00550867,345,W 13 St & 6 Ave,40.73649403,-73.99704374,18454,Subscriber,1970,1
675,2/3/15 17:55,2/3/15 18:06,382,University Pl & E 14 St,40.73492695,-73.99200509,379,W 31 St & 7 Ave,40.749156,-73.9916,18427,Subscriber,1991,1
573,2/3/15 17:55,2/3/15 18:05,369,Washington Pl & 6 Ave,40.73224119,-74.00026394,402,Broadway & E 22 St,40.7403432,-73.98955109,21466,Subscriber,1968,1
570,2/3/15 17:55,2/3/15 18:04,488,W 39 St & 9 Ave,40.75645824,-73.99372222,509,9 Ave & W 22 St,40.7454973,-74.00197139,17832,Subscriber,1968,1
518,2/3/15 17:55,2/3/15 18:04,523,W 38 St & 8 Ave,40.75466591,-73.99138152,318,E 43 St & Vanderbilt Ave,40.75320159,-73.9779874,17096,Subscriber,1972,1
506,2/3/15 17:55,2/3/15 18:03,310,State St & Smith St,40.68926942,-73.98912867,391,Clark St & Henry St,40.69760127,-73.99344559,15157,Subscriber,1972,1
417,2/3/15 17:55,2/3/15 18:02,267,Broadway & W 36 St,40.75097711,-73.98765428,318,E 43 St & Vanderbilt Ave,40.75320159,-73.9779874,17186,Subscriber,1983,1
916,2/3/15 17:56,2/3/15 18:12,351,Front St & Maiden Ln,40.70530954,-74.00612572,387,Centre St & Chambers St,40.71273266,-74.0046073,19961,Subscriber,1958,1
843,2/3/15 17:56,2/3/15 18:10,435,W 21 St & 6 Ave,40.74173969,-73.99415556,517,Pershing Square South,40.751581,-73.97791,19957,Subscriber,1979,1
764,2/3/15 17:56,2/3/15 18:09,462,W 22 St & 10 Ave,40.74691959,-74.00451887,476,E 31 St & 3 Ave,40.74394314,-73.97966069,21289,Subscriber,1991,1
640,2/3/15 17:56,2/3/15 18:07,466,W 25 St & 6 Ave,40.74395411,-73.99144871,318,E 43 St & Vanderbilt Ave,40.75320159,-73.9779874,18903,Subscriber,1979,1
626,2/3/15 17:56,2/3/15 18:07,257,Lispenard St & Broadway,40.71939226,-74.00247214,250,Lafayette St & Jersey St,40.72456089,-73.99565293,21044,Subscriber,1969,1
495,2/3/15 17:56,2/3/15 18:05,301,E 2 St & Avenue B,40.72217444,-73.98368779,300,Shevchenko Pl & E 7 St,40.728145,-73.990214,19868,Subscriber,1987,1
483,2/3/15 17:56,2/3/15 18:04,516,E 47 St & 1 Ave,40.75206862,-73.96784384,290,2 Ave & E 58 St,40.76020258,-73.96478473,15854,Subscriber,1973,1
465,2/3/15 17:56,2/3/15 18:04,475,E 16 St & Irving Pl,40.73524276,-73.98758561,475,E 16 St & Irving Pl,40.73524276,-73.98758561,15173,Subscriber,1958,1
449,2/3/15 17:56,2/3/15 18:03,458,11 Ave & W 27 St,40.751396,-74.005226,442,W 27 St & 7 Ave,40.746647,-73.993915,17862,Subscriber,1985,1
407,2/3/15 17:56,2/3/15 18:03,459,W 20 St & 11 Ave,40.746745,-74.007756,434,9 Ave & W 18 St,40.74317449,-74.00366443,16471,Subscriber,1980,1
332,2/3/15 17:56,2/3/15 18:01,239,Willoughby St & Fleet St,40.69196566,-73.9813018,270,Adelphi St & Myrtle Ave,40.69308257,-73.97178913,19047,Subscriber,1977,2